Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
123;0;70000.63271406064;69999.93287864552;59999.87223452306;67499.78065174272;0.021925269799400005;4.502126899747151
124;0;70000.63271406064;69999.8164568214;59999.69607241729;67499.72930842028;0.020753639066868838;4.482904442833448
125;0;70000.63271406064;69999.96117370538;59999.82466923288;68333.02742877573;0.020531530310768733;4.457186516223483
126;0;70000.63271406064;69999.83559989824;59999.84210994749;66665.74176333439;0.020863263722589703;4.4942308123816135
127;0;70000.63271406064;69999.83445665307;59999.81230932524;68332.91513597652;0.020413409588542684;4.5729834500998185
128;0;70000.63271406064;69999.95260751687;59999.81059441985;67499.7520365893;0.01970681617778908;4.578787298468568
129;0;70000.63271406064;69999.86121902626;59999.678350564325;67499.76377145009;0.01882473268060552;4.608414396496473
130;0;70000.63271406064;69999.95626164213;59999.87306853582;64999.81199603693;0.018964265631999013;4.914186417054483
131;0;70000.63271406064;69999.9430320975;59999.83960907216;66666.46561483628;0.018985697389812328;4.98663092331397
132;0;70000.63271406064;69999.9039939216;59999.732098331246;67499.7419804649;0.019154296701902825;5.217549911098447
133;0;70000.63271406064;69999.92272663768;59999.86473530257;68333.04763116383;0.01869075535814208;5.289366555633317
134;0;70000.63271406064;69999.87819814871;59999.827950875275;64166.468212593034;0.01894593634791966;5.381400653537389
135;0;70000.63271406064;69999.86995166805;59999.81114276701;65833.11511171561;0.020253758751850454;5.556401168314456
136;0;70000.63271406064;69999.88278779949;59999.87121400058;67499.76504690193;0.02109531547693208;5.7896943592153445
137;0;70000.63271406064;69999.88560598445;59999.8546268314;65832.41153177204;0.02222590891678829;6.358815186563784
138;0;70000.63271406064;69999.90531334945;59999.69153236675;66666.43270940086;0.022768111107082177;6.671485291013757
139;0;70000.63271406064;69999.91864996105;59999.81315739672;65833.11734740411;0.02230458869482866;6.782822720875971
140;0;70000.63271406064;70000.03013784529;59999.83554326568;65833.06060292922;0.020911850068478056;6.744135278398008
141;0;70000.63271406064;69999.86932677579;59999.77383031054;66666.38764179074;0.019614948747617614;6.713445260338872
142;0;70000.63271406064;69999.85819828796;59999.83986432183;66666.46199953188;0.018017126477599673;6.7248810064122955
143;0;70000.63271406064;69999.8640686978;59999.87929255601;69166.39201446342;0.017171016489526455;6.831988210413919
144;0;70000.63271406064;69999.80056104521;59999.71541558681;67499.670390901;0.015999936871709836;6.799440616985592
145;0;70000.63271406064;69999.96375164913;59999.88716099446;69166.40965094235;0.01598798107584415;6.652791103428974
146;0;70000.63271406064;70000.03502633187;59999.86886822786;67499.80673593322;0.015745838136655206;6.791173408167331
147;0;70000.63271406064;69999.82242838953;59999.879795465255;67499.75327279602;0.015482428718056242;6.833569718193536
148;0;70000.63271406064;70000.06604947498;59999.77244330999;66666.52537350901;0.016330378895460757;6.811488683780405
149;0;70000.63271406064;69999.94477222294;59999.844500530126;66666.44612565487;0.01753591669919502;7.005067518468929
150;0;70000.63271406064;70000.02119039542;59999.88751519813;66666.48041198718;0.018923708726843045;7.366837714095882
151;0;70000.63271406064;69999.91696283474;59999.99017155223;69166.38405529014;0.020893991084683983;7.848612179300126
