Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
41;0;709.0979952797758;708.5547954001821;687.492571176909;704.1864326157248;0.39956439687213596;1.0583594339425235
42;0;709.0979952797758;709.0925424436255;669.9689900267583;703.9041911933981;0.39895083275634596;1.0604856507941829
43;0;709.0979952797758;708.5662911905691;690.6208881162261;705.305534553681;0.39835378702489527;1.0626041552674859
44;0;709.0979952797758;708.5526426409335;681.9466106391878;703.8076414086675;0.3977082838340636;1.0646960772966285
45;0;709.0979952797758;708.571846034932;669.716927941402;699.7720852491959;0.39703592532154497;1.0667654859942495
46;0;709.0979952797758;709.0482057936895;678.9394530923896;704.3894677808038;0.3963510776613675;1.0688248645317893
47;0;709.0979952797758;708.5052557134643;676.2213230747972;703.8012388678519;0.3957805830114298;1.0710031591318268
48;0;709.0979952797758;708.8266491496042;690.8762736161776;703.9720142147016;0.39517107342312824;1.0731760144826796
49;0;709.0979952797758;708.4841434331144;662.7832295466415;701.9006186260589;0.3947466372348765;1.0756640155375752
50;0;709.0979952797758;708.7791728651445;694.8132429797612;705.1709079318456;0.39449924636458783;1.0782065484207475
51;0;709.0979952797758;708.551556311129;660.7660330665282;703.0491541704876;0.39425419456245064;1.0806308037339782
52;0;709.0979952797758;708.9373004603852;662.4596948800122;702.0696410053647;0.39405732054009185;1.0831316220842198
53;0;709.0979952797758;708.5086509171817;687.4597505309232;705.0922926432422;0.39379299851904487;1.0855947023957764
54;0;709.0979952797758;708.2166132959802;674.1939511850723;703.4421339027622;0.3936281095554703;1.0881218975266214
55;0;709.0979952797758;708.9974814182178;663.6465173009723;702.0141640353279;0.3934841210044908;1.0907567865792938
56;0;709.6053790515849;709.6053790515849;693.9774910518179;705.5290113860458;0.3933365954603778;1.0933605345609871
57;0;709.6053790515849;709.4709828254719;689.69872629834;705.1079459560311;0.3933246501787342;1.0960784483021246
58;0;709.6053790515849;709.2599368549133;686.2479897217033;703.9044883507646;0.3932191747603005;1.0987832720691983
59;0;709.6053790515849;708.9513017832472;700.6460258187527;706.5331293710493;0.3932127528578564;1.1015419524139372
60;0;709.6053790515849;708.8549776658008;700.4414247728263;706.5300781324441;0.3932294635027216;1.1042999412691283
61;0;709.6053790515849;709.0118066804835;702.3023653335747;707.0678188385333;0.393253324526629;1.1070650610932262
62;0;709.6053790515849;708.6662834772487;667.6205352222416;702.6702274394927;0.393244933450219;1.1098420050314102
63;0;709.6053790515849;708.9324555978105;681.0721746302153;705.4588172817039;0.39329637968472136;1.1127003154754542
64;0;709.6053790515849;709.3023837679496;659.6804031983048;701.5083477011046;0.39317108474116624;1.1154692205640446
65;0;709.6053790515849;708.989766449117;691.3988683357531;705.7094024098982;0.39304855456802124;1.1181583115315126
66;0;709.6053790515849;708.5065548563725;679.7118010627594;702.558029549819;0.3929742401808358;1.1208507551659472
67;0;709.6053790515849;709.0781031194226;697.1137054064723;706.8407345615175;0.3928873526910662;1.1235365515521472
68;0;709.6053790515849;708.9537266923475;679.0623297166251;703.3745862909274;0.39275069923057554;1.1261890799121774
69;0;709.6053790515849;708.9712173456877;677.9001820434052;703.9467167924722;0.39264846808518294;1.1287933433372777
70;0;709.6053790515849;708.7019685768715;673.190699762607;703.7863096135449;0.3927026159142849;1.1314733510222557
71;0;709.6053790515849;709.120502132177;660.8694713243585;704.0952872964765;0.39264502550087516;1.1340813923425228
72;0;709.6053790515849;708.8962035428492;669.3545474099931;705.2009381089796;0.39265850825170545;1.1367105683658045
73;0;709.6053790515849;709.13250396199;693.7091536898807;706.0808363394787;0.39272334307813933;1.1393746642784088
74;0;709.6053790515849;709.003668735253;665.9787210561414;706.0747099862948;0.3928885307444789;1.1421180464537477
75;0;709.6053790515849;709.046550966277;660.8401986044499;701.2641381423999;0.39321715505706006;1.1449040537871706
76;0;709.6053790515849;709.3257305724337;670.9878333050218;703.0356820455053;0.39352521185491207;1.1477492247669654
77;0;709.6053790515849;709.1651492002813;662.7769232280046;702.4429865143551;0.3938879434524752;1.15053957878913
78;0;709.6053790515849;709.0608205985559;669.3026428417476;703.951196120811;0.39428892119143744;1.1533345813882145
79;0;709.6053790515849;709.2370577163065;693.6774490098597;706.5266146069953;0.3946816416333706;1.1562045171981405
80;0;709.6053790515849;709.316819079934;668.1731722883678;702.8276712577965;0.3951222767918811;1.159195481770613
81;0;709.6053790515849;709.6006337818746;678.17650577979;705.8690966184831;0.39557031190141306;1.1621622757247876
82;0;709.6053790515849;709.1374548219504;678.5819462371857;706.5101106876647;0.3961061431518008;1.1651420132666375
83;0;709.6053790515849;709.2185969710888;692.2277874929825;706.5695975354586;0.39657030907422486;1.1681240532938528
84;0;709.6053790515849;709.3975014261293;675.8588058389594;704.352217452443;0.39709114093370695;1.1711158934971362
85;0;709.6053790515849;708.9380107083728;683.2753496584071;705.7655590632202;0.3975892425535549;1.1740943684912286
86;0;709.6053790515849;709.4970211613211;702.1242758109627;707.8017765689888;0.3980369318327141;1.177139617773957
87;0;709.6053790515849;709.0099434856226;690.6806503265301;705.0612851220874;0.39838144522016417;1.1801164976348184
88;0;709.6053790515849;709.0862318850275;694.408001348663;706.8036219548538;0.3987092381722372;1.1830863043686803
89;0;709.6053790515849;709.539475706187;700.2762944028432;707.4417896576498;0.3990030897186711;1.186136893908736
