Generation;Subpop;Best of run;Best of gen;Worst of gen;Average;Sigma;Condition number
36;0;712.3860621744836;712.311329166503;664.0441803296973;703.8277927084072;0.39379123953358963;1.0413910159332995
37;0;712.3860621744836;712.1667589710562;685.1982118229632;708.2130346268315;0.3929242699890499;1.0431056735257336
38;0;712.3860621744836;712.0949614269508;658.6666736936301;699.2724911005779;0.3921382517287371;1.044925772963989
39;0;712.3860621744836;712.3642131959984;652.8579363995507;706.755655130246;0.3914148627708378;1.0467998685344104
40;0;712.3860621744836;711.5413785499522;668.9361139478652;705.8650498251272;0.39085342892714176;1.0487665755619169
41;0;712.3860621744836;712.1783890511822;683.4802964633856;708.629625502021;0.390328572012759;1.0507448056925834
42;0;712.3860621744836;712.2106094399674;706.2212118764965;709.7629427129021;0.3897356561844521;1.0527436352000459
43;0;712.3860621744836;712.0626546451581;658.0863989298502;705.686557027166;0.38901213197257484;1.0546951224308811
44;0;712.3860621744836;711.9597619776602;677.9502669039914;706.5559930041469;0.38833482270245845;1.0566669265562392
45;0;712.3860621744836;712.3392688162896;676.1950662942925;706.8586011759118;0.38773031623603676;1.0586569540665018
46;0;712.3860621744836;712.355275206319;692.2103500563354;709.7197852716971;0.3872207945720313;1.0607708009181278
47;0;712.3860621744836;712.1544961403577;690.2349579997099;708.7455425248338;0.3867391040424657;1.0629831988033724
48;0;712.3860621744836;712.1960106830444;677.5303203425459;706.5986003673894;0.38627787105946854;1.0651336887027698
49;0;712.6453153250229;712.6453153250229;696.699724705967;708.9832238242848;0.38580229296690943;1.0673192745602256
50;0;712.6453153250229;712.3750995127881;697.9024862167988;709.2875803150221;0.3855305765680625;1.0697038414410724
51;0;712.6453153250229;712.1514517967672;696.5520554015559;709.2673100973612;0.38520722145636244;1.0720882466131818
52;0;712.6453153250229;712.0202172625138;691.2869653466075;708.2190004377485;0.3848131929108247;1.0744078604751945
53;0;712.6453153250229;712.1268642839383;691.9083826470971;707.3835697444215;0.3844201981279598;1.0766802264578799
54;0;712.6453153250229;711.9365890077912;667.4391344707201;708.4119056401898;0.3840651018086442;1.0790552648064329
55;0;712.6453153250229;712.3990361008916;699.4030860494906;709.5734262289768;0.38375878361457916;1.0814266989980204
56;0;712.6453153250229;712.1124182515287;701.9491827068308;709.9795387276654;0.38359092323026983;1.0838690982497232
57;0;712.6453153250229;712.076738369205;689.8197288645729;709.7365116053735;0.38340674806908603;1.0863246421633714
58;0;712.6453153250229;712.5100127738418;690.7753319382592;710.0567906305215;0.3831265139737046;1.0888349318164128
59;0;712.6453153250229;712.2608773802816;693.2242556640583;709.6232526305827;0.3829024938423127;1.0912649398282142
60;0;712.6453153250229;712.1235636174918;673.5255323875334;707.5561100044766;0.3826544894593058;1.0936681236738888
61;0;712.6543533634925;712.6543533634925;658.9094154521564;707.1815508088267;0.38236890809881197;1.0960975674008868
62;0;712.6543533634925;712.4768439052352;659.6518141680256;709.3112415200719;0.3821100368972742;1.098454378173377
63;0;712.6543533634925;712.4093542116594;703.2707788916084;710.4793360379836;0.38189631875320923;1.1009368187026294
64;0;712.6543533634925;712.4006303993871;706.0937430851566;710.9675834363329;0.38157725613611476;1.1034560616578895
65;0;712.6543533634925;712.0555231777807;676.4070675682932;708.2989361071078;0.3812469701937545;1.1058784748375459
66;0;712.6543533634925;712.4652145388013;659.9924570352272;707.423344294982;0.38094393761467965;1.1083266767071922
67;0;712.6543533634925;712.5098667917673;670.2254734286563;707.8711528172433;0.3806943212248805;1.1107993501048243
68;0;712.6543533634925;712.6454808185997;673.622320895466;707.728827318195;0.38050686295117575;1.113357629725881
69;0;712.6543533634925;712.4726509649768;653.8319170418738;706.2766971936974;0.3804368641708857;1.116004243643441
70;0;712.6543533634925;712.4965315603453;707.9313765781656;711.1060202389391;0.3803317122834826;1.1186339095732876
71;0;712.6543533634925;712.3899452581247;705.5488255444616;710.3521884484192;0.38021166447753385;1.1213091001303745
72;0;712.6543533634925;712.4273313285493;668.0691277960451;704.1551206041387;0.38008463252405533;1.1239226385095535
73;0;712.6543533634925;712.4044075976785;671.1365417928639;705.920929004583;0.37994244817215583;1.126476039619419
74;0;712.6543533634925;712.4347329788422;682.1705389433425;708.6073021912008;0.37979723699260637;1.1290079260018013
